Assessment_id,Assessment_link,Assessment_boundry,link_confirmation,Assessment_factors,Assessment_authors,Adaptation_plan,Organization_id
67,https://www.adaptingtorisingtides.org/wp-content/uploads/2020/03/ARTBayArea_Main_Report_Final_March2020_ADA.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: ""Adapting to Rising Tides Bay Area: Regional Sea Level Rise Vulnerability and Adaption Study - March 2020""  - This report covers the 9-county San Francisco Bay Area (including Marin County)",The assessment can be accessed (unrestricted) on the link provided,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems,Consultant; Regional/ state/ provincial government; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,73723
68,"LIlongwecityContigencyPlanOCTOBER2021.docx, LilongweEcologicalrivercorridoractionplanJKVT1.docx",Same - covers entire jurisdiction and nothing else,The assessment has been attached,Assessment considers nature; Assessment considers water security,Question not applicable,Incomplete report,60621
69,https://www.metoffice.gov.uk/binaries/content/assets/metofficegovuk/pdf/research/spf/manchester-city-pack_august-2022.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Manchester is located within the 'North West' region of the UK, which includes Cheshire, Merseyside, Greater Manchester, Lancashire and Cumbria. There examples included of some of the types of weather that the region experiences",The assessment can be accessed (unrestricted) on the link provided,"Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes sectors and/or urban systems","Other, please specify: UK Met Office",Adaptation goal(s) and adaptation plan,11315
70,Bridgewater_MCCAP_2013_Final.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The majority of the Municipal Climate Change Action Plan covers the geographic boundaries of the Town of Bridgewater, but elements of the analysis and action planning are regional in nature, covering neighbouring municipalities.",The assessment has been attached and can be accessed (unrestricted) on the link provided,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,60599
71,Informe 5 PARCC RM_VERSION PRELIMINAR.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,"A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems","Consultant; Dedicated team within jurisdiction; Other, please specify: El PARCC RM de acuerdo a la ley, articulo 11   es un instrumento de gestión del cambio climático, que debe ser elaborado por  el Comité Regional para el Cambio Climático,  CORECC,; Regional/ state/ provincial government",Adaptation goal(s) and adaptation plan,31180
72,https://ethekwini.maps.arcgis.com/apps/MapSeries/index.html?appid=4c59620219d343a1aec468b87aa0ffc5,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",,Adaptation goal(s) and adaptation plan,35863
73,"Informe de inventario de GEI Montes de Oca 2018 (1).pdfListo (4).pdf, Informe Planes Mitigacion Montes de Oca 2018 vf (2) (1).pdf",Same - covers entire jurisdiction and nothing else,The assessment has been attached,"Assessment includes a high-emissions scenario (i.e., RCP 8.5)",Consultant; International organization; Regional/ state/ provincial government; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,845301
74,https://www.oxford.gov.uk/downloads/file/1811/shotover_hill_management_plan_2014_-_2024pdf,"Smaller - covers only part of the jurisdiction, please explain exclusions: This covers the Shotover Hill area within the jurisdiction",The assessment can be accessed (unrestricted) on the link provided,Assessment considers nature; Assessment considers vulnerable populations; Assessment includes consultation with partners,Relevant department within jurisdiction,Adaptation goal(s),14136
75,https://www.gnrc.org/DocumentCenter/View/1094/Draft-Report_Building-Resilience?bidId=,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: This climate adaptation plan for the Nashville Area MPO region (Middle Tennessee's ten counties comprising greater-Nashville metro economy) presents the results of a regional team effort, deep and broad information gathering...",The assessment can be accessed (unrestricted) on the link provided,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,49335
76,"(IG-002) CNE Puente Cheo - Belén, Heredia_FINAL.pdf","Smaller - covers only part of the jurisdiction, please explain exclusions: Estudios hechos para el cambio de puentes",The assessment has been attached,Assessment considers vulnerable populations,Consultant,Adaptation goal(s) and adaptation plan,58595
77,Risk and vulnerability assessment - Concequences of heat waves,Same - covers entire jurisdiction and nothing else,"Unable to provide an attachment and/or direct link to the assessment, please specify why: The report is not public due to that it contains sensitive and secret information",A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,3429
